source,destination
365080711952,365080712496
365080712496,365080703696
365080703696,365080712524
365080712524,365080678912
365080678912,365080678920
365080678920,365080678932
365080678932,365080678956
365080678956,365080712552
365080712552,365080705696
365080705696,365080705344
365080705344,365080705412
365080705412,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
365080705416,365080705416
