Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 15.27     18.91    18.91                             _init
  0.19    108.20     0.24 146584460     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, unsigned long>, std::allocator<std::pair<unsigned long const, unsigned long> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, unsigned long const&, unsigned long) const
  0.19    108.44     0.24 95833410     0.00     0.00  parse_tma()
  0.19    108.67     0.23 523520604     0.00     0.00  std::_Optional_payload_base<unsigned char>::_M_get()
  0.19    108.91     0.23 279929032     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<unsigned long const, jit_asm_instruction*> >::_M_ptr()
  0.18    109.13     0.23 279884720     0.00     0.00  std::map<unsigned long, jit_asm_instruction*, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, jit_asm_instruction*> > >::lower_bound(unsigned long const&)
  0.18    109.35     0.22 349208909     0.00     0.00  std::_Optional_payload_base<tnt_packet_data>::_M_get()
  0.18    109.57     0.22 215655301     0.00     0.00  std::_Optional_payload_base<pt_packet>::_Optional_payload_base<pt_packet>(std::in_place_t, pt_packet&&)
  0.17    109.78     0.21 279911177     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, jit_asm_instruction*>, std::_Select1st<std::pair<unsigned long const, jit_asm_instruction*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, jit_asm_instruction*> > >::_M_begin()
  0.17    110.00     0.21 214941628     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned long const, unsigned long> >::_M_ptr() const
  0.17    110.20     0.21 214941628     0.00     0.00  unsigned long const& std::__pair_get<0ul>::__const_get<unsigned long const, unsigned long>(std::pair<unsigned long const, unsigned long> const&)
  0.17    110.42     0.21 180796116     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.17    110.62     0.21 180752962     0.00     0.00  std::__detail::_Hashtable_base<unsigned long, std::pair<unsigned long const, unsigned long>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.17    110.83     0.21 173473397     0.00     0.00  std::_Rb_tree_node<std::pair<unsigned long const, basic_block*> >::_M_valptr()
  0.17    111.05     0.21 146582220     0.00     0.00  std::map<unsigned long, basic_block*, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, basic_block*> > >::find(unsigned long const&)
  0.17    111.25     0.21 126953609     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, basic_block*>, std::_Select1st<std::pair<unsigned long const, basic_block*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, basic_block*> > >::upper_bound(unsigned long const&)
  0.17    111.47     0.21 125734299     0.00     0.00  parse_long_tnt()
  0.17    111.67     0.21        1     0.21     0.21  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<unsigned long const, basic_block*> > >::new_allocator()
  0.17    111.88     0.20 279929032     0.00     0.00  std::_Rb_tree_node<std::pair<unsigned long const, jit_asm_instruction*> >::_M_valptr()
  0.17    112.08     0.20 279880093     0.00     0.00  std::optional<pt_instruction>::operator*() &
  0.17    112.29     0.20 96240692     0.00     0.00  parse_cbr()
  0.17    112.50     0.20 95833410     0.00     0.00  parse_ovf()
  0.16    112.69     0.20 279929032     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<unsigned long const, jit_asm_instruction*> >::_M_addr()
  0.16    112.89     0.20 214941628     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned long const, unsigned long> >::_M_addr() const
  0.16    113.09     0.20 214941628     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<unsigned long const, unsigned long> >::_M_v() const
  0.16    113.30     0.20 173473397     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<unsigned long const, basic_block*> >::_M_addr()
  0.16    113.49     0.20 146582220     0.00     0.00  get_mapping(unsigned long)
  0.16    113.69     0.20 95833410     0.00     0.00  parse_mtc()
  0.15    113.88     0.19 279880093     0.00     0.00  std::_Optional_payload_base<pt_instruction>::_M_get()
  0.15    114.06     0.19 215655301     0.00     0.00  std::_Optional_payload_base<pt_packet>::_M_get()
  0.15    114.25     0.19 163002890     0.00     0.00  std::bitset<47ul>::reference::operator bool() const
  0.15    114.44     0.18 173466758     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned long const, basic_block*> >::operator->() const
  0.15    114.62     0.18 180773126     0.00     0.00  std::hash<unsigned long>::operator()(unsigned long) const
  0.15    114.80     0.18 146584460     0.00     0.00  std::unordered_map<unsigned long, unsigned long, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, unsigned long> > >::operator[](unsigned long const&)
  0.14    114.97     0.17 146584470     0.00     0.00  std::__detail::_Hash_code_base<unsigned long, std::pair<unsigned long const, unsigned long>, std::__detail::_Select1st, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
  0.14    115.15     0.17 126953609     0.00     0.00  std::map<unsigned long, basic_block*, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, basic_block*> > >::upper_bound(unsigned long const&)
  0.14    115.32     0.17 180752962     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<unsigned long>, true>::_M_cget() const
  0.14    115.49     0.17 89921502     0.00     0.00  std::optional<tnt_packet_data>::optional<tnt_packet_data&, true>(tnt_packet_data&)
  0.13    115.66     0.17 216355267     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, jit_asm_instruction*>, std::_Select1st<std::pair<unsigned long const, jit_asm_instruction*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, jit_asm_instruction*> > >::_S_right(std::_Rb_tree_node_base*)
  0.13    115.82     0.17 146584470     0.00     0.00  std::_Hashtable<unsigned long, std::pair<unsigned long const, unsigned long>, std::allocator<std::pair<unsigned long const, unsigned long> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned long) const
  0.13    115.98     0.17 89921502     0.00     0.00  std::_Optional_base<tnt_packet_data, true, true>::_Optional_base<tnt_packet_data&, false>(std::in_place_t, tnt_packet_data&)
  0.13    116.14     0.16 180752962     0.00     0.00  std::__detail::_Hashtable_base<unsigned long, std::pair<unsigned long const, unsigned long>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
  0.13    116.30     0.15 214941628     0.00     0.00  std::pair<unsigned long const, unsigned long> const& std::forward<std::pair<unsigned long const, unsigned long> const&>(std::remove_reference<std::pair<unsigned long const, unsigned long> const&>::type&)
  0.13    116.45     0.15 96037029     0.00     0.00  parse_tsc()
  0.13    116.61     0.15 89921502     0.00     0.00  pt_packet::pt_packet(tnt_packet_data)
  0.12    116.76     0.15 180773126     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<unsigned long>, true>::_M_cget() const
  0.12    116.91     0.15 146584433     0.00     0.00  std::map<unsigned long, basic_block*, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, basic_block*> > >::end()
  0.12    117.06     0.15 96643372     0.00     0.00  parse_pip()
  0.12    117.21     0.15 95833410     0.00     0.00  parse_vmcs()
  0.12    117.36     0.15 95433183     0.00     0.00  parse_mnt()
  0.12    117.51     0.15 89921502     0.00     0.00  tnt_packet_data::tnt_packet_data()
  0.12    117.66     0.15 89921502     0.00     0.00  std::_Optional_payload_base<tnt_packet_data>::_Optional_payload_base<tnt_packet_data&>(std::in_place_t, tnt_packet_data&)
  0.12    117.81     0.15 29084482     0.00     0.00  parse_tip_ip_use(unsigned char)
  0.12    117.96     0.15 29084482     0.00     0.00  std::_Optional_base_impl<unsigned char, std::_Optional_base<unsigned char, true, true> >::_M_is_engaged() const
  0.12    118.11     0.14 96643372     0.00     0.00  parse_mode()
  0.12    118.25     0.14 34188666     0.00     0.00  std::__detail::_Hash_code_base<unsigned long, std::pair<unsigned long const, unsigned long>, std::__detail::_Select1st, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node_value<std::pair<unsigned long const, unsigned long>, false> const&, unsigned long) const
  0.12    118.39     0.14 29084478     0.00     0.00  std::optional<pt_tip_type>::operator*() &
  0.11    118.53     0.14 273538044     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, basic_block*>, std::_Select1st<std::pair<unsigned long const, basic_block*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, basic_block*> > >::_M_begin()
  0.11    118.67     0.14 146598514     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned long const, unsigned long> >::_M_addr()
  0.11    118.81     0.14 96240692     0.00     0.00  parse_trace_stop()
  0.11    118.95     0.14 95433183     0.00     0.00  parse_pad()
  0.11    119.09     0.14 85890587     0.00     0.00  log_basic_block(unsigned long)
  0.11    119.23     0.14 125734291     0.00     0.00  std::optional<pt_tip_type>::operator bool() const
  0.11    119.36     0.14 65822601     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned long const, basic_block*> >::operator--()
  0.10    119.50     0.13 180773126     0.00     0.00  std::__detail::_Hash_code_base<unsigned long, std::pair<unsigned long const, unsigned long>, std::__detail::_Select1st, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.10    119.62     0.13 146598514     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<unsigned long const, unsigned long> >::_M_valptr()
